10,7,-0- ,-0- ,"Panama",-0- 
7609,6431,"c/o J. FREDDY MAFLA Y CIA. S.C.S.","Cali","Colombia",-0- 
7610,6432,"Calle 27 Norte No. 6AN-43","Cali","Colombia",-0- 
7610,6433,"c/o CONSTRUCCIONES PROGRESO DEL PUERTO S.A.","Puerto Tejada","Colombia",-0- 
7611,6434,"Calle 10 Bis No. 67A-51","Cali","Colombia",-0- 
7611,6435,"c/o GRAN MUELLE S.A.","Buenaventura","Colombia",-0- 
7612,6436,"Carrera 4 No. 11-45 Ofc. 506","Cali","Colombia",-0- 
7612,6437,"c/o COMPANIA DE FOMENTO MERCANTIL S.A.","Cali","Colombia",-0- 
7612,6438,"c/o GEOPLASTICOS S.A.","Cali","Colombia",-0- 
7612,6439,"c/o CIA. MINERA DAPA S.A.","Bogota","Colombia",-0- 
7612,6440,"c/o CIA. ANDINA DE EMPAQUES LTDA.","Cali","Colombia",-0- 
7612,6441,"c/o OCCIDENTAL DE PAPELES LTDA.","Cali","Colombia",-0- 
7613,6442,"Avenida 2 Norte No. 2N-36, Edif. Campanari Ofc. 340","Cali","Colombia",-0- 
7613,6443,"c/o FINVE S.A.","Bogota","Colombia",-0- 
7613,6444,"c/o UNIDAS S.A.","Cali","Colombia",-0- 
7614,6445,"Carrera 4 No. 11-33 Ofc. 710","Cali","Colombia",-0- 
7614,6446,"c/o CRIADERO LA LUISA E.U.","Cali","Colombia",-0- 
7615,6447,"c/o GRANJA LA SIERRA LTDA.","Cali","Colombia",-0- 
7616,6448,"Carrera 4 No. 11-45 Ofc. 503","Cali","Colombia",-0- 
7616,6449,"Calle 52N No. 5B-111","Cali","Colombia",-0- 
7616,6450,"Carrera 11 No. 46-24 Apt. 201","Cali","Colombia",-0- 
7616,6451,"Carrera 11 No. 46-26","Cali","Colombia",-0- 
7616,6452,"c/o COMPANIA DE FOMENTO MERCANTIL S.A.","Cali","Colombia",-0- 
7616,6453,"c/o PARQUE INDUSTRIAL PROGRESO S.A.","Yumbo","Colombia",-0- 
7616,6454,"c/o CONSTRUCCIONES PROGRESO DEL PUERTO S.A.","Puerto Tejada","Colombia",-0- 
7616,6455,"c/o GEOPLASTICOS S.A.","Cali","Colombia",-0- 
7616,6456,"c/o J. FREDDY MAFLA Y CIA. S.C.S.","Cali","Colombia",-0- 
7617,6457,"Carrera 4 No. 11-45 Ofc. 503","Cali","Colombia",-0- 
7617,6458,"Avenida Piedra Grande, Casa 45","Cali","Colombia",-0- 
7617,6459,"c/o CONSTRUCCIONES PROGRESO DEL PUERTO S.A.","Puerto Tejada","Colombia",-0- 
7617,6460,"c/o UNIDAS S.A.","Cali","Colombia",-0- 
7617,6461,"c/o MIRA E.U.","Cali","Colombia",-0- 
7618,6462,"Carrera 16A No. 33D-20","Cali","Colombia",-0- 
7618,6463,"c/o GRANJA LA SIERRA LTDA.","Cali","Colombia",-0- 
7619,6464,"Avenida Las Americas No. 21N-50 Ofc. 702","Cali","Colombia",-0- 
7619,6465,"c/o PARQUE INDUSTRIAL PROGRESO S.A.","Yumbo","Colombia",-0- 
7619,6466,"c/o CIA. MINERA DAPA S.A.","Bogota","Colombia",-0- 
7619,6467,"c/o CONSTRUCTORA PYNZAR LTDA.","Cali","Colombia",-0- 
7621,6470,"Calle 55BN No. 2FN-77","Cali","Colombia",-0- 
7621,6471,"c/o PARQUE INDUSTRIAL PROGRESO S.A.","Yumbo","Colombia",-0- 
7622,6472,"Avenida Las Americas No. 21N-50","Cali","Colombia",-0- 
7622,6473,"c/o PARQUE INDUSTRIAL PROGRESO S.A.","Yumbo","Colombia",-0- 
7622,6474,"c/o CIA. MINERA DAPA S.A.","Bogota","Colombia",-0- 
7622,6475,"c/o CONSTRUCTORA PYNZAR LTDA.","Cali","Colombia",-0- 
7622,6476,"c/o PYZA E.U.","Cali","Colombia",-0- 
7622,6477,"c/o NOVAPINSKI LTDA.","Cali","Colombia",-0- 
7624,6480,"c/o UNIPAPEL S.A.","Yumbo","Colombia",-0- 
7624,6481,"c/o CREDISA S.A.","Cali","Colombia",-0- 
7624,6482,"c/o FINVE S.A.","Bogota","Colombia",-0- 
7624,6483,"c/o COMPANIA DE FOMENTO MERCANTIL S.A.","Cali","Colombia",-0- 
7625,6484,"Carrera 122 No. 20-02","Cali","Colombia",-0- 
7625,6485,"Calle 16 No. 15-30","Cali","Colombia",-0- 
7625,6486,"Calle 5B 4 No. 37-125","Cali","Colombia",-0- 
7625,6487,"c/o CREDISA S.A.","Cali","Colombia",-0- 
7625,6488,"c/o LUZ MERY TRISTAN E.U.","Cali","Colombia",-0- 
7626,6489,"c/o GRAN MUELLE S.A.","Buenaventura","Colombia",-0- 
7627,6490,"Carrera 4 No. 11-45 Ofc. 503","Cali","Colombia",-0- 
7627,6491,"c/o CREDISA S.A.","Cali","Colombia",-0- 
7627,6492,"c/o COMPANIA DE FOMENTO MERCANTIL S.A.","Cali","Colombia",-0- 
7627,6493,"c/o UNIDAS S.A.","Cali","Colombia",-0- 
7628,6494,"Carrera 4 No. 11-45 Ofc. 506","Cali","Colombia",-0- 
7628,6495,"Carrera 5 No. 17-66","Cali","Colombia",-0- 
7628,6496,"Calle 9N A 3-37 Apt. 701","Cali","Colombia",-0- 
7628,6497,"c/o CREDISA S.A.","Cali","Colombia",-0- 
7628,6498,"c/o COMPANIA DE FOMENTO MERCANTIL S.A.","Cali","Colombia",-0- 
7628,6499,"c/o PARQUE INDUSTRIAL PROGRESO S.A.","Yumbo","Colombia",-0- 
7628,6500,"c/o CONSTRUCCIONES PROGRESO DEL PUERTO S.A.","Puerto Tejada","Colombia",-0- 
7628,6501,"c/o UNIDAS S.A.","Cali","Colombia",-0- 
7629,6502,"Carrera 37 No. 8-26","Cali","Colombia",-0- 
7629,6503,"c/o CREDISA S.A.","Cali","Colombia",-0- 
7629,6504,"c/o UNIDAS S.A.","Cali","Colombia",-0- 
7630,6505,"Carrera 3A Norte No. 42A-43","Cali","Colombia",-0- 
7630,6506,"c/o CREDISA S.A.","Cali","Colombia",-0- 
7631,6507,"Carrera 20 No. 66-34","Bogota","Colombia",-0- 
7632,6511,"6555 NW 36th Street, Suite 304","Virginia Gardens, FL  33166","United States",-0- 
7632,6512,"9443 Fontainebleau Boulevard, No. 114","Miami, FL  33172","United States",-0- 
7634,6514,"4382 Fox Ridge Dr.","Weston, FL  33331","United States",-0- 
7635,6515,"Calle 6 Oeste No. 4-200 apt. 202","Cali","Colombia",-0- 
7635,6516,-0- ,"Nassau","Bahamas, The",-0- 
7637,6519,-0- ,-0- ,-0- ,-0- 
7638,6520,"Kappellenstrasse 36","Aachen  D-52066","Germany",-0- 
7639,6521,"Gerrit V/D Lindestraat 103 A","3022 TH, Rotterdam","Netherlands",-0- 
7639,6522,"Gerrit V/D Lindestraat 103 E","03022 TH, Rotterdam","Netherlands",-0- 
7640,6523,"P.O. Box 6222200KBKN","Copenhagen","Denmark",-0- 
7641,6524,"BD Leopold II 71","1080 Brussels","Belgium",-0- 
7642,6525,"P.O. Box 14101","San 'a","Yemen",-0- 
7643,6526,"Noblev 79 NB","21433 Malmo","Sweden",-0- 
7643,6527,"Nobelvagen 79 NB","21433 Malmo","Sweden",-0- 
7644,6528,"P.O. Box 421083, 2nd Floor, Amoco Gardens, 40 Mint Road, Fordsburg 2033","Johannesburg","South Africa",-0- 
7644,6529,"P.O. Box 421082, 2nd Floor, Amoco Gardens, 40 Mint Road, Fordsburg 2033","Johannesburg","South Africa",-0- 
7645,6530,"P.O. Box 2364","Islamabad","Pakistan",-0- 
7646,6531,-0- ,-0- ,-0- ,-0- 
7647,6532,-0- ,-0- ,-0- ,-0- 
7648,6533,-0- ,-0- ,-0- ,-0- 
7649,6534,-0- ,-0- ,-0- ,-0- 
7650,6535,-0- ,-0- ,-0- ,-0- 
7651,6536,-0- ,-0- ,-0- ,-0- 
7652,6537,-0- ,-0- ,-0- ,-0- 
7653,6538,-0- ,-0- ,-0- ,-0- 
7654,6539,-0- ,-0- ,-0- ,-0- 
7655,6540,-0- ,-0- ,-0- ,-0- 
7656,6541,-0- ,-0- ,-0- ,-0- 
7657,6542,-0- ,-0- ,-0- ,-0- 
7658,6543,-0- ,"Sarajevo","Bosnia and Herzegovina",-0- 
7659,6544,"Starine Novaka Street BB, Sokolac","Republika Srpska","Bosnia and Herzegovina",-0- 
7660,6545,-0- ,-0- ,-0- ,-0- 
7661,6546,-0- ,-0- ,-0- ,-0- 
7662,6547,-0- ,-0- ,-0- ,-0- 
7663,6548,-0- ,-0- ,-0- ,-0- 
7664,6549,-0- ,-0- ,-0- ,-0- 
7665,6550,-0- ,-0- ,-0- ,-0- 
7666,6551,-0- ,-0- ,-0- ,-0- 
7667,6552,-0- ,-0- ,-0- ,-0- 
7668,6553,-0- ,-0- ,-0- ,-0- 
7669,6554,-0- ,-0- ,-0- ,-0- 
7670,6555,-0- ,-0- ,-0- ,-0- 
7671,6556,-0- ,-0- ,-0- ,-0- 
7672,6557,-0- ,-0- ,-0- ,-0- 
7673,6558,-0- ,-0- ,-0- ,-0- 
7674,6559,-0- ,-0- ,-0- ,-0- 
7675,6560,-0- ,-0- ,-0- ,-0- 
7676,6561,-0- ,-0- ,-0- ,-0- 
7677,6562,-0- ,-0- ,-0- ,-0- 
7678,6563,-0- ,-0- ,-0- ,-0- 
7679,6564,-0- ,-0- ,-0- ,-0- 
7680,6565,-0- ,-0- ,-0- ,-0- 
7681,6566,-0- ,-0- ,-0- ,-0- 
7682,6567,-0- ,-0- ,-0- ,-0- 
7683,6568,-0- ,-0- ,-0- ,-0- 
7684,6569,-0- ,-0- ,-0- ,-0- 
7685,6570,-0- ,-0- ,-0- ,-0- 
7686,6571,-0- ,-0- ,-0- ,-0- 
7687,6572,-0- ,-0- ,-0- ,-0- 
7688,6573,-0- ,-0- ,-0- ,-0- 
7689,6574,-0- ,-0- ,-0- ,-0- 
7690,6575,-0- ,-0- ,-0- ,-0- 
7691,6576,-0- ,-0- ,-0- ,-0- 
7692,6577,-0- ,-0- ,-0- ,-0- 
7693,6578,-0- ,-0- ,-0- ,-0- 
7694,6579,-0- ,-0- ,-0- ,-0- 
7695,6580,-0- ,-0- ,-0- ,-0- 
7696,6581,-0- ,-0- ,-0- ,-0- 
7697,6582,-0- ,-0- ,-0- ,-0- 
7698,6583,-0- ,-0- ,-0- ,-0- 
7699,6584,-0- ,-0- ,-0- ,-0- 
7700,6585,-0- ,-0- ,-0- ,-0- 
7701,6586,-0- ,-0- ,-0- ,-0- 
7702,6587,-0- ,-0- ,-0- ,-0- 
7703,6588,-0- ,-0- ,-0- ,-0- 
7704,6589,-0- ,-0- ,-0- ,-0- 
7705,6590,-0- ,-0- ,-0- ,-0- 
7706,6591,-0- ,-0- ,-0- ,-0- 
7707,6592,-0- ,-0- ,-0- ,-0- 
7708,6593,-0- ,-0- ,-0- ,-0- 
7709,6594,-0- ,-0- ,-0- ,-0- 
7710,6595,-0- ,-0- ,-0- ,-0- 
7711,6596,-0- ,-0- ,-0- ,-0- 
7712,6597,-0- ,-0- ,-0- ,-0- 
7713,6598,-0- ,-0- ,-0- ,-0- 
7714,6599,-0- ,-0- ,-0- ,-0- 
7715,6600,-0- ,-0- ,-0- ,-0- 
7716,6601,-0- ,-0- ,-0- ,-0- 
7717,6602,-0- ,-0- ,-0- ,-0- 
7718,6603,-0- ,-0- ,-0- ,-0- 
7719,6604,-0- ,-0- ,-0- ,-0- 
7720,6605,-0- ,-0- ,-0- ,-0- 
7721,6606,-0- ,-0- ,-0- ,-0- 
7722,6607,-0- ,-0- ,-0- ,-0- 
7723,6608,-0- ,-0- ,-0- ,-0- 
7724,6609,-0- ,-0- ,-0- ,-0- 
7725,6610,-0- ,-0- ,-0- ,-0- 
7726,6611,-0- ,-0- ,-0- ,-0- 
7727,6612,-0- ,-0- ,-0- ,-0- 
7728,6613,-0- ,-0- ,-0- ,-0- 
7729,6614,-0- ,-0- ,-0- ,-0- 
7730,6615,-0- ,-0- ,-0- ,-0- 
7731,6616,-0- ,-0- ,-0- ,-0- 
7732,6617,-0- ,-0- ,-0- ,-0- 
7733,6618,-0- ,-0- ,-0- ,-0- 
7734,6619,-0- ,-0- ,-0- ,-0- 
7735,6620,-0- ,-0- ,-0- ,-0- 
7736,6621,-0- ,-0- ,-0- ,-0- 
7737,6622,-0- ,-0- ,-0- ,-0- 
7738,6623,-0- ,-0- ,-0- ,-0- 
7739,6624,-0- ,-0- ,-0- ,-0- 
7740,6625,-0- ,-0- ,-0- ,-0- 
7741,6626,-0- ,-0- ,-0- ,-0- 
7742,6627,-0- ,-0- ,-0- ,-0- 
7743,6628,-0- ,-0- ,-0- ,-0- 
7744,6629,-0- ,-0- ,-0- ,-0- 
7745,6630,-0- ,-0- ,-0- ,-0- 
7746,6631,-0- ,-0- ,-0- ,-0- 
7747,6632,-0- ,-0- ,-0- ,-0- 
7748,6633,-0- ,-0- ,-0- ,-0- 
7749,6634,-0- ,-0- ,-0- ,-0- 
7750,6635,-0- ,-0- ,-0- ,-0- 
7751,6636,-0- ,-0- ,-0- ,-0- 
7752,6637,-0- ,-0- ,-0- ,-0- 
7753,6638,-0- ,-0- ,-0- ,-0- 
7754,6639,-0- ,-0- ,-0- ,-0- 
7755,6640,-0- ,-0- ,-0- ,-0- 
7756,6641,-0- ,-0- ,-0- ,-0- 
7757,6642,-0- ,-0- ,-0- ,-0- 
7758,6643,-0- ,-0- ,-0- ,-0- 
7759,6644,-0- ,-0- ,-0- ,-0- 
7760,6645,-0- ,-0- ,-0- ,-0- 
7761,6646,-0- ,-0- ,-0- ,-0- 
7762,6647,-0- ,-0- ,-0- ,-0- 
7763,6648,-0- ,-0- ,-0- ,-0- 
7764,6649,-0- ,-0- ,-0- ,-0- 
7765,6650,-0- ,-0- ,-0- ,-0- 
7766,6651,-0- ,-0- ,-0- ,-0- 
7767,6652,-0- ,-0- ,-0- ,-0- 
7768,6653,-0- ,-0- ,-0- ,-0- 
7769,6654,-0- ,-0- ,-0- ,-0- 
7770,6655,-0- ,-0- ,-0- ,-0- 
7771,6656,-0- ,-0- ,-0- ,-0- 
7772,6657,-0- ,-0- ,-0- ,-0- 
7773,6658,"Str Srpskih Ratnika br 14, 71420 Pale","Republika Srpska","Bosnia and Herzegovina",-0- 
7773,6659,"Dobroslava Jedevica 14, 71000 Pale","Republika Srpska","Bosnia and Herzegovina",-0- 
7773,6660,"Kralja Nikole Str 65, Srbinje/Foca","Republika Srpska","Bosnia and Herzegovina",-0- 
7773,6661,"Ljube Milanovica Str 12, Trebinje","Republika Srpska","Bosnia and Herzegovina",-0- 
7773,6662,"Filipa Kljajica Str 6, Zvornik","Republika Srpska","Bosnia and Herzegovina",-0- 
7773,6663,"9/11 Str Zagrebacka","Belgrade 11000","Serbia and Montenegro",-0- 
7774,6664,-0- ,"Mostar","Bosnia and Herzegovina",-0- 
7774,6665,-0- ,"Capljina","Bosnia and Herzegovina",-0- 
7774,6666,-0- ,"Stolac","Bosnia and Herzegovina",-0- 
7774,6667,-0- ,"Siroki Brijeg","Bosnia and Herzegovina",-0- 
7775,6668,-0- ,-0- ,-0- ,-0- 
7776,6669,-0- ,-0- ,-0- ,-0- 
7777,6670,-0- ,-0- ,-0- ,-0- 
7778,6671,-0- ,-0- ,-0- ,-0- 
7779,6672,-0- ,-0- ,-0- ,-0- 
7780,6673,-0- ,-0- ,-0- ,-0- 
7781,6674,-0- ,-0- ,-0- ,-0- 
7782,6675,-0- ,-0- ,-0- ,-0- 
7783,6676,-0- ,-0- ,-0- ,-0- 
7784,6677,-0- ,-0- ,-0- ,-0- 
7785,6678,-0- ,-0- ,-0- ,-0- 
7786,6679,-0- ,-0- ,-0- ,-0- 
7787,6680,-0- ,-0- ,-0- ,-0- 
7788,6681,-0- ,-0- ,-0- ,-0- 
7789,6682,-0- ,-0- ,-0- ,-0- 
7790,6683,-0- ,-0- ,-0- ,-0- 
7791,6684,-0- ,-0- ,-0- ,-0- 
7792,6685,-0- ,-0- ,-0- ,-0- 
7793,6686,-0- ,-0- ,-0- ,-0- 
7794,6687,-0- ,-0- ,-0- ,-0- 
7795,6688,-0- ,-0- ,-0- ,-0- 
7796,6689,-0- ,-0- ,-0- ,-0- 
7797,6690,-0- ,-0- ,-0- ,-0- 
7798,6691,-0- ,-0- ,-0- ,-0- 
7799,6692,-0- ,-0- ,-0- ,-0- 
7800,6693,-0- ,-0- ,-0- ,-0- 
7801,6694,-0- ,-0- ,-0- ,-0- 
7802,6695,-0- ,-0- ,-0- ,-0- 
7803,6696,-0- ,-0- ,-0- ,-0- 
7804,6697,-0- ,-0- ,-0- ,-0- 
7805,6698,-0- ,-0- ,-0- ,-0- 
7806,6699,-0- ,-0- ,-0- ,-0- 
7807,6700,-0- ,-0- ,-0- ,-0- 
7808,6701,-0- ,-0- ,-0- ,-0- 
7809,6702,-0- ,-0- ,-0- ,-0- 
7810,6703,-0- ,-0- ,-0- ,-0- 
7811,6704,-0- ,-0- ,-0- ,-0- 
7812,6705,-0- ,-0- ,-0- ,-0- 
7813,6706,-0- ,-0- ,-0- ,-0- 
7814,6707,-0- ,-0- ,-0- ,-0- 
7815,6708,-0- ,-0- ,-0- ,-0- 
7816,6709,-0- ,-0- ,-0- ,-0- 
7817,6710,-0- ,-0- ,-0- ,-0- 
7818,6711,-0- ,-0- ,-0- ,-0- 
7819,6712,-0- ,-0- ,-0- ,-0- 
7820,10280,"Avenida Los Angeles No. 5183, Colonia Las Palmas","Tijuana, Baja California  CP 22440","Mexico",-0- 
7820,10281,"Calle Colima 2316, Colonia Francisco I. Madero","Tijuana, Baja California  CP 22150","Mexico",-0- 
7820,10282,"Calle 8 8988, Colonia Zona Este","Tijuana, Baja California  CP 22000","Mexico",-0- 
7820,10283,"Cjon. Quintana Roo 8220, Colonia Zona Este","Tijuana, Baja California","Mexico",-0- 
7820,10284,"Predio Rustico en Km. 42 - 43 de la Carretera","Tijuana-Ensenada, Baja California","Mexico",-0- 
7821,6714,-0- ,-0- ,-0- ,-0- 
7822,6715,-0- ,-0- ,-0- ,-0- 
7825,6720,-0- ,-0- ,-0- ,-0- 
7826,6738,"Piazza Giovane Italia n.2","Varese","Italy",-0- 
7827,6739,-0- ,-0- ,-0- ,-0- 
7828,6740,-0- ,-0- ,-0- ,-0- 
7829,6741,"Via di Saliceto n.51/9","Bologna","Italy",-0- 
7830,6742,"Via di Saliceto n.51/9","Bologna","Italy",-0- 
7831,6743,-0- ,-0- ,-0- ,-0- 
7832,6744,"Via Milano n.108","Brescia","Italy",-0- 
7833,6745,"Via degli Apuli n.5","Milan","Italy",-0- 
7834,6746,"Via de' Carracci n.l5","Casalecchio di Reno (Bologna)","Italy",-0- 
7835,6747,"Via Bellaria n.10","Bologna","Italy",-0- 
7835,6748,"Via Lazio n.3","Bologna","Italy",-0- 
7836,6749,"Via Mirasole n.11","Bologna","Italy",-0- 
7836,6750,"Via Ariosto n.8","Casalecchio di Reno (Bologna)","Italy",-0- 
7837,6751,"Via Agucchi n.250","Bologna","Italy",-0- 
7837,6752,"Via di Saliceto n.51/9","Bologna","Italy",-0- 
7838,6753,"Via Toscana n.46","Bologna","Italy",-0- 
7838,6754,"Via di Saliceto n.51/9","Bologna","Italy",-0- 
7839,6755,"Vicolo dei Prati n.2/2","Bologna","Italy",-0- 
7840,6756,-0- ,-0- ,-0- ,-0- 
7841,6757,"Via Milano n.105","Casal di Principe (Caserta)","Italy",-0- 
7841,6758,"Via di Saliceto n.51/9","Bologna","Italy",-0- 
7842,6759,"Op de Wisch 15","Hamburg  21149","Germany",-0- 
7842,6760,"Marienstrasse 54","Hamburg","Germany",-0- 
7843,6761,-0- ,-0- ,-0- ,-0- 
7844,6762,-0- ,-0- ,-0- ,-0- 
7845,6763,-0- ,-0- ,-0- ,-0- 
7846,6764,-0- ,-0- ,-0- ,-0- 
7847,6765,-0- ,-0- ,-0- ,-0- 
7848,6766,-0- ,-0- ,-0- ,-0- 
7849,6767,-0- ,-0- ,-0- ,-0- 
7850,6768,-0- ,-0- ,-0- ,-0- 
7851,6769,-0- ,-0- ,-0- ,-0- 
7852,6770,-0- ,-0- ,-0- ,-0- 
7853,6771,-0- ,-0- ,-0- ,-0- 
7854,6772,-0- ,-0- ,-0- ,-0- 
7855,6773,-0- ,-0- ,-0- ,-0- 
7856,6774,-0- ,-0- ,-0- ,-0- 
7857,6775,-0- ,-0- ,-0- ,-0- 
7858,6776,-0- ,-0- ,-0- ,-0- 
7859,6777,-0- ,-0- ,-0- ,-0- 
7860,6778,-0- ,-0- ,-0- ,-0- 
7861,6779,-0- ,-0- ,-0- ,-0- 
7862,6780,-0- ,-0- ,-0- ,-0- 
7863,6781,-0- ,-0- ,-0- ,-0- 
7864,6782,-0- ,-0- ,-0- ,-0- 
7865,6783,-0- ,-0- ,-0- ,-0- 
7866,6784,-0- ,-0- ,-0- ,-0- 
7867,6785,-0- ,-0- ,-0- ,-0- 
7868,6786,-0- ,-0- ,-0- ,-0- 
7869,6787,-0- ,-0- ,-0- ,-0- 
7870,6788,-0- ,-0- ,-0- ,-0- 
7871,6789,-0- ,-0- ,-0- ,-0- 
7872,6790,-0- ,-0- ,-0- ,-0- 
7873,6791,-0- ,-0- ,-0- ,-0- 
7874,6792,-0- ,-0- ,-0- ,-0- 
7875,6793,-0- ,-0- ,-0- ,-0- 
7876,6794,-0- ,-0- ,-0- ,-0- 
7877,6795,-0- ,-0- ,-0- ,-0- 
7878,6796,-0- ,-0- ,-0- ,-0- 
7879,6797,-0- ,-0- ,-0- ,-0- 
7880,6798,-0- ,"Geneva","Switzerland",-0- 
7881,6799,-0- ,-0- ,-0- ,-0- 
7882,6800,-0- ,-0- ,-0- ,-0- 
7883,6801,-0- ,-0- ,-0- ,-0- 
7884,6802,-0- ,-0- ,-0- ,-0- 
7885,6803,-0- ,-0- ,-0- ,-0- 
7886,6804,-0- ,-0- ,-0- ,-0- 
7887,6805,-0- ,-0- ,-0- ,-0- 
7888,6806,-0- ,-0- ,-0- ,-0- 
7889,6807,-0- ,-0- ,-0- ,-0- 
7890,6808,-0- ,-0- ,-0- ,-0- 
7891,6809,-0- ,-0- ,-0- ,-0- 
7892,6810,-0- ,-0- ,-0- ,-0- 
7893,6811,-0- ,-0- ,-0- ,-0- 
7894,6812,-0- ,-0- ,-0- ,-0- 
7895,6813,-0- ,-0- ,-0- ,-0- 
7896,6814,-0- ,-0- ,-0- ,-0- 
7897,6815,-0- ,-0- ,-0- ,-0- 
7898,6816,-0- ,-0- ,"Bosnia and Herzegovina",-0- 
7899,6817,-0- ,-0- ,"Bosnia and Herzegovina",-0- 
7900,6818,-0- ,-0- ,"Bosnia and Herzegovina",-0- 
7901,6819,"1-19 Sule Pagoda Road, Pabedan T/S","Yangon","Burma",-0- 
7902,6820,"P.O. Box 203, 80-86 Maha Bandoola Garden Street, Kyauktada T/S","Yangon","Burma",-0- 
7903,6821,"170/176 Bo Aung Kyaw Street, Botataung Township","Yangon","Burma",-0- 
7904,6822,-0- ,-0- ,-0- ,-0- 
7905,6823,"Vanterpool Plaza, P.O. Box 873, Wickhams Cay I, Road Town","Tortola","Virgin Islands, British",-0- 
7905,6824,"Avenida 4 Norte 4N-30","Cali","Colombia",-0- 
7905,7215,"Calle 7 Oeste No. 1-13","Cali","Colombia",-0- 
7906,6826,-0- ,-0- ,-0- ,-0- 
7907,6827,"Derzhavina Street 281-59","Grozny, Chechen Republic, Chechnya","Russia",-0- 
7908,6828,-0- ,-0- ,-0- ,-0- 
7909,6829,-0- ,-0- ,-0- ,-0- 
7910,6830,-0- ,-0- ,-0- ,-0- 
7911,6831,"c/o Faical Yaakoubi, 7 rue de l'Ancien Port","CH-1201 Geneva","Switzerland",-0- 
7911,6832,"Gartnerstrasse 55","CH-4109 Basel","Switzerland",-0- 
7911,6833,"Postfach 406","CH-4109 Basel","Switzerland",-0- 
7912,6834,-0- ,-0- ,-0- ,-0- 
7913,6835,-0- ,"Haret Hreik","Lebanon",-0- 
7914,6836,-0- ,"Damascus","Syria",-0- 
7915,6837,-0- ,"Gaza Strip","undetermined",-0- 
7916,6838,"68 Rue Jules Guesde","59000 Lille","France",-0- 
7916,6839,"10 Rue Notre Dame","69006 Lyon","France",-0- 
7916,6840,"37 Rue de la Chapelle","75018 Paris","France",-0- 
7917,6841,"P.O. Box 3333","London  NW6 1RW","United Kingdom",-0- 
7918,6842,"Novara g 36a/11","1020 Wien","Austria",-0- 
7919,6843,-0- ,"Sidon","Lebanon",-0- 
7920,6845,-0- ,-0- ,-0- ,-0- 
7921,6846,-0- ,-0- ,-0- ,-0- 
7922,6847,-0- ,-0- ,-0- ,-0- 
7923,6848,-0- ,-0- ,-0- ,-0- 
7924,6849,-0- ,-0- ,-0- ,-0- 
7925,6850,-0- ,-0- ,-0- ,-0- 
7926,6851,-0- ,-0- ,-0- ,-0- 
7927,6852,-0- ,-0- ,-0- ,-0- 
7928,6853,-0- ,-0- ,-0- ,-0- 
7929,6854,-0- ,-0- ,-0- ,-0- 
7930,6855,-0- ,-0- ,-0- ,-0- 
7931,6856,-0- ,-0- ,-0- ,-0- 
7932,6857,-0- ,-0- ,-0- ,-0- 
7933,6858,-0- ,-0- ,-0- ,-0- 
7934,6859,-0- ,-0- ,-0- ,-0- 
7935,6860,-0- ,-0- ,-0- ,-0- 
7936,6861,-0- ,-0- ,-0- ,-0- 
7937,6862,-0- ,-0- ,-0- ,-0- 
7938,6863,-0- ,-0- ,-0- ,-0- 
7939,6864,"A-1-8 Pangsapuri Sri Tanjung, Jalan Sky BS2, Bukit Sentosa Rawang","Selangor 48300","Malaysia",-0- 
7940,6865,-0- ,-0- ,-0- ,-0- 
7940,9345,"Holdenweg 76","Essen  45143","Germany",-0- 
7942,6867,"Clemens-August Strasse 10, Kolpinghaus","Beckum  59269","Germany",-0- 
7942,6868,"Leipziger Strasse 64","Altenburg  04600","Germany",-0- 
7943,6869,-0- ,-0- ,-0- ,-0- 
7944,6870,"c/o Birgit Melani Schroeder, Kuehlungsborner Strasse 30","Hamburg  22147","Germany",-0- 
7945,6871,"Wilhelm-Strasse 45, 59269","Beckum","Germany",-0- 
7946,6883,"ST-1/A, Gulshan-e-Iqbal, Block 2","Karachi 75300","Pakistan",-0- 
7946,6884,-0- ,"Bahawalpur","Pakistan",-0- 
7946,6885,-0- ,"Bawalnagar","Pakistan",-0- 
7946,6886,-0- ,"Gilgit","Pakistan",-0- 
7946,6887,"Gulistan-e-Jauhar, Block 12","Karachi","Pakistan",-0- 
7946,6888,-0- ,"Islamabad","Pakistan",-0- 
7946,6889,-0- ,"Mirpur Khas","Pakistan",-0- 
7946,6890,-0- ,"Spin Boldak","Afghanistan",-0- 
7946,6891,-0- ,"Tando-Jan-Muhammad","Pakistan",-0- 
7948,6893,"Avenida 3 Bis No. 23CN-13","Cali","Colombia",-0- 
7948,6894,"Calle 19 No. 12-36","Tunja","Colombia",-0- 
7948,6895,"Calle 1N No. 4-36","Popayan","Colombia",-0- 
7948,6896,"Calle 28 No. 27-06","Palmira","Colombia",-0- 
7948,6897,"Calle 3 No. 11-104","Santander de Quilichao","Colombia",-0- 
7948,6898,"Calle 35 No. 27-69","Villavicencio","Colombia",-0- 
7948,6899,"Calle 35 No. 27-83","Villavicencio","Colombia",-0- 
7948,6900,"Carrera 1 No. 14-41","Ibague","Colombia",-0- 
7948,6901,"Carrera 10 No. 11-14 Esq.","Jamundi","Colombia",-0- 
7948,6902,"Carrera 10 No. 12-02 Esq.","Girardot","Colombia",-0- 
7948,6903,"Carrera 10 No. 18-02","Pereira","Colombia",-0- 
7948,6904,"Carrera 13 No. 13-41","Bogota","Colombia",-0- 
7948,6905,"Carrera 13 No. 15-42","Santa Rosa","Colombia",-0- 
